"ANO","ELECCION","ESTADO","CODIGO_MUNICIPIO","MUNICIPIO","DISTRITO_LOC","SECCION","NOMINAL","MUNICIPIO_CODIGO","PAN","PCP","PES","PJ","PMC","PMOR","PNA","PPC","PPRO","PRC","PRD","PRI","PSDC","PSI","PT","PTSC","PUDC","PVEM","VALIDOS"
"2013","ayu","coahuila",NA,"abasolo",13,1,732,NA,219,NA,NA,0,13,NA,7,0,0,0,0,358,0,NA,0,NA,0,0,602
"2013","ayu","coahuila",NA,"abasolo",13,2,399,NA,190,NA,NA,0,11,NA,0,0,0,0,0,99,0,NA,0,NA,0,0,306
"2013","ayu","coahuila",NA,"acuña",15,3,2586,NA,119,NA,NA,9,0,NA,5,1,2,1,24,621,21,NA,19,NA,541,8,1464
"2013","ayu","coahuila",NA,"acuña",15,4,5168,NA,278,NA,NA,27,0,NA,7,6,3,3,42,1157,54,NA,23,NA,1032,21,2827
"2013","ayu","coahuila",NA,"acuña",15,5,1579,NA,98,NA,NA,3,0,NA,6,3,2,2,26,313,19,NA,14,NA,335,5,879
"2013","ayu","coahuila",NA,"acuña",15,6,991,NA,55,NA,NA,2,0,NA,8,1,1,0,14,231,16,NA,8,NA,144,2,502
"2013","ayu","coahuila",NA,"acuña",15,7,1323,NA,68,NA,NA,4,0,NA,4,1,1,1,13,312,8,NA,4,NA,198,5,653
"2013","ayu","coahuila",NA,"acuña",15,8,1317,NA,83,NA,NA,5,0,NA,8,1,3,0,12,333,12,NA,4,NA,217,9,700
"2013","ayu","coahuila",NA,"acuña",15,10,12931,NA,592,NA,NA,45,0,NA,25,14,10,4,134,3008,71,NA,48,NA,2403,26,6741
"2013","ayu","coahuila",NA,"acuña",15,11,2671,NA,131,NA,NA,9,0,NA,17,6,7,0,27,652,23,NA,19,NA,493,3,1512
"2013","ayu","coahuila",NA,"acuña",15,12,3299,NA,157,NA,NA,7,0,NA,21,8,3,1,34,822,35,NA,10,NA,548,3,1749
"2013","ayu","coahuila",NA,"acuña",15,13,494,NA,33,NA,NA,1,0,NA,2,3,1,0,13,122,7,NA,2,NA,73,1,273
"2013","ayu","coahuila",NA,"acuña",15,14,861,NA,42,NA,NA,6,0,NA,5,1,3,0,7,177,8,NA,0,NA,112,3,380
"2013","ayu","coahuila",NA,"acuña",15,15,935,NA,42,NA,NA,2,0,NA,6,1,0,0,5,241,2,NA,1,NA,146,3,478
"2013","ayu","coahuila",NA,"acuña",15,16,995,NA,47,NA,NA,5,0,NA,1,2,0,0,0,238,6,NA,1,NA,168,3,490
"2013","ayu","coahuila",NA,"acuña",15,17,960,NA,50,NA,NA,2,0,NA,6,2,3,1,10,195,11,NA,1,NA,133,2,444
"2013","ayu","coahuila",NA,"acuña",15,18,1898,NA,97,NA,NA,3,0,NA,9,4,3,0,19,431,18,NA,18,NA,349,5,980
"2013","ayu","coahuila",NA,"acuña",15,19,9603,NA,481,NA,NA,41,0,NA,21,24,17,3,81,1940,77,NA,45,NA,2015,31,5045
"2013","ayu","coahuila",NA,"acuña",15,20,1111,NA,70,NA,NA,4,0,NA,8,1,1,3,4,274,6,NA,5,NA,169,3,576
"2013","ayu","coahuila",NA,"acuña",15,21,1197,NA,79,NA,NA,1,0,NA,0,2,6,0,3,225,13,NA,8,NA,213,0,567
"2013","ayu","coahuila",NA,"acuña",15,22,920,NA,45,NA,NA,1,0,NA,1,6,0,0,5,231,6,NA,2,NA,147,3,469
"2013","ayu","coahuila",NA,"acuña",15,23,693,NA,35,NA,NA,3,0,NA,6,0,2,0,2,156,4,NA,12,NA,96,1,330
"2013","ayu","coahuila",NA,"acuña",15,24,702,NA,44,NA,NA,1,0,NA,1,0,0,1,2,139,3,NA,9,NA,108,1,320
"2013","ayu","coahuila",NA,"acuña",15,25,1322,NA,95,NA,NA,1,0,NA,10,3,3,0,6,263,11,NA,5,NA,221,3,665
"2013","ayu","coahuila",NA,"acuña",15,26,806,NA,44,NA,NA,0,0,NA,8,0,0,0,3,173,4,NA,3,NA,179,3,447
"2013","ayu","coahuila",NA,"acuña",15,27,923,NA,40,NA,NA,2,0,NA,2,1,0,0,7,177,2,NA,4,NA,142,3,400
"2013","ayu","coahuila",NA,"acuña",15,28,1461,NA,64,NA,NA,0,0,NA,6,0,9,0,4,371,8,NA,11,NA,259,6,786
"2013","ayu","coahuila",NA,"acuña",15,29,1831,NA,99,NA,NA,7,0,NA,6,1,3,1,7,438,14,NA,10,NA,297,1,938
"2013","ayu","coahuila",NA,"acuña",15,30,1372,NA,68,NA,NA,3,0,NA,21,2,1,0,10,301,16,NA,1,NA,251,7,709
"2013","ayu","coahuila",NA,"acuña",15,31,5977,NA,274,NA,NA,16,0,NA,67,6,14,1,40,1199,61,NA,38,NA,1273,26,3151
"2013","ayu","coahuila",NA,"acuña",15,32,939,NA,55,NA,NA,1,0,NA,2,1,3,0,10,247,8,NA,7,NA,121,1,465
